Year,Total Customer,New Customer,Active Rate,Funding Rate,Churn Rate,ARPU,Direct Cost,Mambu Fee above 500k active,Mambu Fee above Mambu active,Funded CAC,Staff Cost,Opex,Retaining,Selling Cost
2021,278.577,160.834,0.409671293753612,0.222888195282092,0.127425391135964,8.26241755920137,10.1146373077152,0,0,28.5721309734428,3982823.54744566,1551545.01931396,206110.626611336,0
2022,548.970,270.685,0.351647631018088,0.299691523357408,0.103993558800236,7.65273650386609,8.88554685744684,0,0,27.2016172178806,4917806.81554636,2235596.06355654,321431.66920024,0
2023,689.462,140.462,0.324055567964587,0.432465720265979,0.141957836687654,11.3058674892389,7.87892879610975,0,0,12.1743378405688,4605780.3525317,2374552.44553827,204559.515846801,16278.103797534
2024,689.462,400.000,0.324055567964587,0.536861089792786,0.0633357858306264,17.5806571534678,9.49745954432837,0.35,0.3,10.3774013316322,5027576.90010234,2546628.21805636,184797.564176693,293816.783788675
2025,689.462,400.000,0.324055567964587,0.536861089792786,0.05369855429609,43.1763832828604,16.426791635449,0.35,0.3,10.3774013316322,5278955.74510745,2606382.16626347,241063.031168094,779551.479612213
2026,689.462,500.000,0.324055567964587,0.536861089792786,0.0494060062079153,60.488818049755,21.4706559596972,0.35,0.3,10.3773610789387,5542903.53236283,2667202.94143025,332682.359782299,1053219.04157555
2027,689.462,600.000,0.324055567964587,0.536861089792786,0.0483838519769506,66.0935657273788,22.4311813529648,0.35,0.3,10.3774684194546,5820048.70898097,2729711.03033428,415382.684273201,1387253.93139976
2028,689.462,700.000,0.324055567964587,0.536861089792786,0.0484915604492106,69.1354164675508,22.5008713494662,0.35,0.3,10.3774300835561,6111051.14443002,2795061.32186141,489975.777050335,1782340.99417993
